Zone Name,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15,Channel16,Channel17,Channel18,Channel19,Channel20,Channel21,Channel22,Channel23,Channel24,Channel25,Channel26,Channel27,Channel28,Channel29,Channel30,Channel31,Channel32,Channel33,Channel34,Channel35,Channel36,Channel37,Channel38,Channel39,Channel40,Channel41,Channel42,Channel43,Channel44,Channel45,Channel46,Channel47,Channel48,Channel49,Channel50,Channel51,Channel52,Channel53,Channel54,Channel55,Channel56,Channel57,Channel58,Channel59,Channel60,Channel61,Channel62,Channel63,Channel64,Channel65,Channel66,Channel67,Channel68,Channel69,Channel70,Channel71,Channel72,Channel73,Channel74,Channel75,Channel76,Channel77,Channel78,Channel79,Channel80
Favorites,Home Hotspot,W7RAT Portland K,APRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotspots,Home Hotspot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNWDigital,Ariel/Ariel VHF,BC:PortAlbernir,Bellevue/Cougar,Bellevu/Cougar,Bellingham UHF,Bellingham VHF,Biggs/Juniper Pt,Bordmn/GolG,BrushPr/ClrkRng,Cascad Lock/Hill,Chehalis/BawFaw,Chinook/Megler U,CdA Metro,Corbett/Lookout,Dallas/CityV,Ellens/SunE UHF,Ellens/SunE VHF,Ephrata/Beasley,Hillsboro/Saddle,HoodRiver/Burd,IssaquahTiger,Kelso/Columbia,Longview/Rainier,Mazama VHF,Moses Lk/Frechmn,MtHood/GvmtCamp,Naneum  Ridge,Newberg/MtnTopRd,NBend/ValleyCamp,Ocean Shores,Olympia/Cap Pk,Portland/MtScott,Portland/PPMC,Portland/Sylvan,Pullman/Pullman,Salem/Prospect,Salem/Popcorn,Seattle/Metro,Shelton/SpncrLk,Shoreline/SHR,Spokane/Lkout U,Spokane/Krell U,Spokane/Krell V,SpknVly/RdgcrstV,SpknVly/RdgcrstU,Tacoma/Ruston,Tacoma/Baldi U,Tacoma/Baldi V,TheDall/StackrBu,Tri-Citi/JOJ UHF,Tri-Citi/JOJ VHF,TroutLk/FltpMtn,Wenatchee/LoBdgr,Widbey Island,Winthrop/RiserLk,Yakima/Elephant,,,,,,,,,,,,,,,,,,,,,,,,
SeattleDMR,BEARS W.Tiger,Seattle/Central,Seattle/North,Seattle/West,Buck Mt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria OR,W7BU Astoria,W7BU Chinook Meg,NA7Q Chinook,NM7R Chinook Meg,W7BU Astoria Wic,W7BU Astoria Wi1,NM7R Long Beach,NM7R Naselle Nas,N7PIR Seaside,N7XAC Astoria Ni,N7XAC Lebam KO P,K7PP Raymond K.O,W7EM Manzanita A,NA7Q Hammond,NM7R Chinook Me1,W7BU Gearhart,NA7Q Knappa,K7RPT Astoria Wi,W7BU Astoria Wi2,WA7VE Seaside re,NM7R Cathlamet K,W7BU Astoria Nic,NM7R Ocean Park,W7BU Cannon Beac,W7BU Chinook Me1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hood River OR,KA7HRC Hood Rive,NB7M White Salmo,N7LF Gresham Hos,AF7YV Hood River,W6TQF Mill A Aug,KB7APU Carson,KF7LN Cascade Lo,N7LF Cascade Loc,KF7LN The Dalles,N7LF The Dalles,N7LF Trout Lake,K7PN Government,K7RPT Timberline,N7PIR Government,W7RAG Underwood,KF7LN Hood River,WA7ROB Hood Rive,KC7LDD The Dalle,KB7APU Carson Re,WA7SAR Trout Lak,KJ7IY Clackamas,K7RPT Timberlin1,N7LF Corbett Loo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland OR UHF,N7PRM Cedar Mill,W7PMC Portland,K7LHS Portland E,K7RPT Portland S,K0HSU Portl OHSU,K7LTA Portl OHSU,W7PGE Portland C,KB7OYI Portland,WA7BND Portland,KA7AGH Portland,K7LJ Portland Co,W7RAT Portland K,K7RPT Portland1,K7NE Portland Co,WA7HAA Portland,W7EXH Portland S,W7DTV Portland S,N7BAR Portland S,AB7BS Portland K,N7PIR Portland S,K7KSN Portland S,WB1ARB Portland,N7NLL Portland W,W7PSV Beaverton,N7PRM Cedar Mill,WB7CRT Beaverton,WA7LO Lake Osweg,KB7APU Vancouver,KA7AGH Clackamas,KC7MZM Clackamas,WB7QIW Clackamas,KJ7IY Clackamas1,K7ICY Tigard QTH,W7AIA Vancouver,NM7B Aloha,K6PRN Portland S,K0HSU Hillsboro,KF7TTS Tigard Bu,K7GJT Vancouver,KA7OSM Aloha Coo,N7QQU Hillsboro,KJ7ECQ Tualatin,WA7DRO West Linn,NA7A Tualatin Po,W7ZRS OR City Bo,N7KOJ Gresham Le,N7LF Gresham Hos,K7CPU Hillsboro,WB7DZG Sherwood,KJ7IY Sherwood,KR7IS Sherwood,K7REA Sherwood,AH6LE Newberg Ch,K7CFD Canby,AB7F Vancouver L,W7AIA Camas Livi,K7RPT Newberg Ch,N7LF Corbett Lo1,AA7BG Scappoose,WA7HAA Brush Pra,W7WRB Battle Gro,K7ABL La Center,K7AUO Laurelwood,N7MAQ Newberg,KE7AWR Sandy,WA7RGO Newberg B,KJ7IY Sandy,KE7FUW Vancouver,WA7ABU Beavercre,W7DTV Molalla Mo,N8VJP Woodland,K7LJ Woodland,W7BO Woodland Oi,WB7DZG Colton,W7AIA Yacolt,KJ7IY Timber Hof,,,,
Portland OR VHF,K7LJ Portland C1,KE7AWR Portland,K7RPT Portland2,N7EXH Portland S,N7EXH Portland K,W7AC Portland Sk,K7LJ Portland Mt,K7RPT Cedar Mill,W7LT Clackamas M,WB7QIW Clackama1,W7LT Clackamas1,KB7APU Vancouve1,N7QQU Aloha Coop,NA7A Tualatin P1,K7BPR Camas Prun,WB7DZG Sherwood1,KR7IS Sherwood1,KE7DC North Plai,AH6LE Sherwood P,AB7F Vancouver1,W7AIA Camas Liv1,K7WWG Newberg Ch,KB7PSM Newberg C,W7LT Vancouver L,N7EI Warren McNu,W7DG Woodland Fi,N7LF Corbett Loo,KJ7IY Colton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem OR,AC7RF Salem,W7BJH Salem,K7RTL Salem,AB7F Salem,AD7ET Salem CCC,WA7VC North Bend,AB7BS Salem Eagl,W7SRA Salem Pros,W7SRA Salem Pro1,W7DTV Salem Pros,W7YAM McMinnvill,WA7ABU Salem Sil,W7SAA Silverton,KA7ENW Scio Rodg,KD6VLR Albany,KG7MKW Lyons McC,WA7RGO Newberg B,N7MAQ Newberg,N8GFO Corvallis,W7DTV Molalla Mo,K7CFD Canby,W7GRT Grande Ron,AH6LE Newberg Ch,K7RPT Newberg Ch,KF7LDG Corvallis,AB7BS Corvallis,AB7BS Corvallis1,W7OSU Corvallis,K7REA Sherwood,WB7DZG Sherwood,KJ7IY Sherwood,KR7IS Sherwood,KB7APU Mill City,K7AUO Laurelwood,NA7A Tualatin Po,KJ7ECQ Tualatin,WB7DZG Colton,KF7TTS Tigard Bu,WA7ABU Beavercre,W7ZRS OR City Bo,WA7DRO West Linn,K7ICY Tigard QTH,KA7OSM Aloha Coo,WA7LO Lake Osweg,KB7KUB Brownsvil,N7PIR Colton Goa,W7OTV Colton Goa,WB6EGS Colton Go,NM7B Aloha,K7LWV Salem Popc,WA7ABU Salem,W7SRA Salem Eagl,W7SRA Salem Pro2,AB7BS Salem Pros,W7RXJ McMinnvill,W1ARK Amity Eola,WA7ABU Gates,W7SAA Silverton1,KA7ENW Scio Rod1,W1ARK Lyons McCu,W7OSU Corvallis1,W7GRT Grande Ro1,AH6LE Sherwood P,W7SRA Falls City,K7WWG Newberg Ch,KB7PSM Newberg C,WB7DZG Sherwood1,KR7IS Sherwood1,NA7A Tualatin P1,KJ7IY Colton,N7QQU Aloha Coop,K7ENW Sweet Home,W7WZA Brownsvill,W7OTV Colton Go1,W7NK Brownsville,,,,,
Burlington WA,KF7CFR Burlingto,K7OET Mount Vern,N7CRA Mount Vern,WA7ZUS Lyman Lym,KF7BJI South Sea,W7PSE Anacortes,KG7OCP Anacortes,WC7SO Bellingham,W7ECG Bellingham,WA7SV Bellingham,W7PIG Camano Isl,W7BFD Bellingham,N7FYT Bellingham,N7XCG Arlington,K7SKW Bellingham,K7SKW Bellingha1,N7NFY Arlington,N7JN Orcas Islan,K7SKW Orcas Isla,KD7KAB Lopez Isl,N7KN Greenbank W,W7ECG Ferndale F,W7ECG Ferndale,K7MLR Marysville,W7BPD Kendall Su,W7JCR Port Towns,N7JN Friday Harb,AA7MI Nordland M,WA7LAW Everett,WA7WKT Quilcene,NR7SS Snohomish,WE7DEM Clinton w,NR7SS Everett,W7BPD Blaine,WA7DEM Snohomish,KG7QPU Snohomish,KG7QPU Snohomis1,W7PSE Sequim May,N7NFY Sequim Bly,W7FLY Lynnwood A,WR7DS Mill Creek,WB0CZA Quilcene,KC7EQO Sequim Bl,WA7DMR Sequim Bl,NW7DR Kingston T,N7GDE Lyman Lyma,WC7SO Bellingha1,W7PIG Camano Is1,K7SKW Bellingha2,AF7PR Bellingha1,W7AVM Coupeville,K7SKW Orcas Isl1,WB7VYA Granite F,WA7COM Marysvill,W7BPD Kendall S1,W7AVM Langley Wh,W7JCR Port Town1,N7JN Friday Har1,W7LT Clackamas1,KH6VM Everett,N7NFY Lynnwood,W2ZT Everett,N7JN Friday Har2,,,,,,,,,,,,,,,,,
Longview WA,W7DG Longview,N3EG Longview Co,AB7F Longview,N3EG Rainier Ran,W7MSH Kelso Moun,WB7DFV Kalama,KA7KUB Longview,KD7HTE Chehalis,N8VJP Woodland,K7LJ Woodland,W7BO Woodland Oi,N7XAC Astoria Ni,AA7BG Scappoose,KK7DFM Chehalis,K7ABL La Center,KJ7IY Timber Hof,K7KFM Chehalis C,W7BU Astoria Wic,W7BU Astoria Wi1,W7WRB Battle Gro,W7AIA Yacolt,W7DG Longview1,W7DG Longview Co,NA7Q Longview,N7EI Deer Island,W7DG Woodland Fi,N7EI Warren McNu,W7BU Astoria Nic,WA7DMR Chehalis,K7PG Chehalis Ba,K7KFM Chehalis1,NA7Q Knappa,NM7R Cathlamet K,W7BU Astoria Wi2,K7RPT Astoria Wi,KJ7IY Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packwood WA,K7KFL Packwood,WW7CH Paradise M,K7TGU Ashford,WA7SAR Yakima Da,WB7DOB Greenwate,K7HW Mineral,W7EAT Eatonville,KB7CNN Alder,W7AQ Yakima Beth,WA7ABU Salem,WB7DOB Buckley1,WA7SAR Trout Lak,K7DNR Ashford,W7PFR Eatonville,WB7DOB Buckley T,W7UDI Electron,AB7F Chehalis,WA7BF Cougar Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle WA UHF,K7SPG Seattle,KB7WCE Seattle,K7SLB Seattle,W7ACS Seattle,W7ACS Seattle1,WW7SEA Seattle C,AJ7JA Seattle Ca,W7ACS Seattle Ca,W7ACS Seattle Be,W7ACS Seattle B1,WW7PSR Seattle C,WW7SEA Seattle K,WW7SEA Seattle Q,KF7BJI South Sea,WW7MST Seattle B,K7IDS Seattle Se,W7AW Seattle Hig,W7AW Seattle Sou,W7MIR Mercer Isl,W7ACS Seattle We,W7BMW Seattle,KC7IYE Bellevue,N7ERP Bellevue C,K7LWH Bellevue L,K7LWH Bellevue,WW7MST Seattle N,K7LWH Kirkland,W7ACS Seattle Ro,K7LFP Shoreline,KF7BFT Tukwila S,K7FDF Renton,W7BUR Burien Gre,N6OBY Redmond,W7AUX Shoreline,W7NPC Bainbridge,KF7BJI Bellevue,W7NPC Bainbridg1,WA7ST Seatac Sea,N7IH Kirkland,W7AUX Sho CRISTA,KE7GFZ Bellevue,N6OBY Bellevue C,KF7BFS SeaTac St,W7ACS Seattle La,W7ACS Seattle L1,K7MMI Bellevue C,KF7BJI Issaquah,K7OET Bellevue C,K7PP Bellevue Co,WA7HJR Bothell,KC7IGT Renton,KG7CM Vashon Isl,W7VMI Vashon Isl,WA7DEM Mountlake,K6RFK Woodinvill,AG7NA Woodinvill,N7MTC Bremerton,KF7UUY Bothell,K7SLB Bothell,WE7SCA Edmonds,K7OET Bremerton,WA7JH Bremerton,W7PSE Bremerton,N6CES Lynnwood,K7DK Quilcene Bu,N9VW Issaquah,WA7HJR Issaquah,WB7DOB Renton La,N7KGJ Issaquah S,K7OET Bremerton1,W7KWS Kingston,WR7HE Olalla,WA6PMX Poulsbo,W7FLY Lynnwood A,WA7FW Federal Wa,K7NWS Issaquah W,W6AV Port Orchar,WR7DS Mill Creek,NW7DR Kingston T,WA7FW Federal W1
Seattle WA VHF,WW7PSR Seattle1,WW7MST Seattle1,W7AW Seattle Wes,W7MIR Mercer Is1,WA7DMR Bellevue,K7LWH Bellevue1,K7LWH Kirkland R,W7WWI Issaquah T,K7SLB Bellevue C,KC7IYE Redmond,NC7G Seatac SeaT,W7RNK Issaquah C,K6RFK Woodinvil1,W7DX Redmond Uni,WA7DEM Lynnwood,N7IG Port Orchar,K7TGU Issaquah,NW7DR Kingston N,K7CST Kent,KD7WDG Silverdal,K7NWS Issaquah1,K7PF Issaquah Ti,KC7RAS Issaquah,WA7FW Federal W3,WA7FW Federal W4,WA7FW Federal W5,KA7EOC Gig Harbo,KF7NPL Maple Va1,KE7GFZ Carnation,KF7BJI Issaquah1,K7LED Issaquah T,K7SYE Auburn,WW7RA Bremerton1,W7DK Tacoma Ch 2,WA7SRT Edgewood,W7DK Tacoma1,W2ZT Everett,KC7SAR North Ben,KH6VM Everett,N7NFY Lynnwood,K7NP University1,W7LT Clackamas1,W7AVM Langley Wh,NM7E Belfair,WB7DVN Eldon,WA7COM Marysvill,AF7PR Enumclaw B,K7MMI Enumclaw B,WB7DOB Enumclaw,N3KPU Graham,W7AAO Enumclaw G,WB7DOB Buckley1,WB7VYA Granite F,W7JCR Port Town1,WC7I Lacey1,W7PIG Camano Is1,,,,,,,,,,,,,,,,,,,,,,,,
Olympia WA,KC7CKO Olympia,W7USJ Olympia,W6TOZ Lacey,WC7I Lacey,N7UJK Olympia Ca,W7WRG Olympia Ca,AF7PR Olympia Ca,NT7H Olympia Cra,N7BAR Portland S,N7SK Shelton,KE7YYD Tacoma Ma,WA7ROY Roy,K7NP University,N7EHP University,K7CEM Centralia,WA7VC North Bend,WA7VC North Bend,K7DKK Puyallup,W7DK Tacoma,K7HW Tacoma,WW7MST Tacoma,W7EOC Elma Minot,WR7HE Olalla,WA7DR Graham Gra,K7CH Shelton Sou,W7USJ Shelton So,NT7H Olympia wat,N7EHP Tumwater,WC7I Lacey1,K7CPR Olympia Ca,WB7DOB Enumclaw,W7DK Tenino Craw,N7SK Shelton Wat,K7NP University1,K7CEM Centralia1,K7CEM Centralia2,W7DK Tacoma Ch 2,K7PG Chehalis Pe,WA7SRT Edgewood,W7DK Tacoma1,NM7E Belfair,KA7EOC Gig Harbo,KK7DFL Shelton S,N3KPU Graham,K7CH Olympia Sou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simplex A,FM 146.52,FM 146.53,FM 146.54,FM 146.55,FM 146.56,FM 146.57,FM 146.58,FM 147.52,FM 147.53,FM 147.54,FM 147.55,FM 147.56,FM 147.57,FM 147.58,FM 147.59,FM 147.60,FM 446.000,FM 446.025,FM 445.8,FM 445.825,FM 445.85,FM 445.875,FM 445.9,FM 445.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simplex D,SP V01 145.790,SP V02 145.510,SP U01 441.000,SP U02 446.5,SP U03 446.075,SP U04 433.45,SP U05 430.4125,SP U06 439.4125,SP U07 430.425,SP U08 439.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplex D,R U09 430.4375,R U10 430.450,R U11 430.4625,R U12 430.475,R U09R 430.4375,R U10R 430.450,R U11R 430.4625,R U12R 430.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRS/GMRS,FRS 1,FRS 2,FRS 3,FRS 4,FRS 5,FRS 6,FRS 7,FRS 8 (IS),FRS 9 (IS),FRS 10 (IS),FRS 11 (IS),FRS 12 (IS),FRS 13 (IS),FRS 14 (IS),GMRS 1 (15),GMRS 2 (16),GMRS 3 (17),GMRS 4 (18),GMRS 5 (19),GMRS 6 (20),GMRS 7 (21),GMRS 8 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UL MURS,MURS 1,MURS 2,MURS 3,MURS 4 (Blue),MURS 5 (Green),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UL Tone,GM136 1,GM136 2,GM136 3,GM136 4,GM136 5,GM136 6,GM136 7,GM136 8,M136 1,M136 2,M136 3,M136 4,M136 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
